ancillary   adj．辅助的，n．助手
anecdote   n．短故事，轶事
anemia   n．贫血，盆血症
anesthetic   n．麻醉剂
anguish   n．极大痛苦
anguished   adj．很痛苦的
animation   n．兴奋，活跃
ankle   n．脚踝
animosity   n．憎恶，仇恨
animus   n．憎恨
annihilate   v．消灭
annotate   v．注解
annotation   n．注解
annul   v．宣告无效，取消
anodyne   n．止痛药
anomaly   n．异常、反常
anomalous   adj．反常的，不规则的
anonymity   n．无名、匿名
anonymous   adj．匿名的
anorexia   n．厌食症
antagonism   n．对抗，敌对
antagonist   n．敌手，对手
antecedence   n．居先，在先
antedate   （在信、文件上）写上较早日期
antediluvian   adj．史前的，陈旧的
antenna   n．触角，无线
anterior   adj．较早的，以前的
anthem   n．圣歌，赞美歌
anthology   n．诗集，文选
anthropoid   adj．像人类的，类人猿的
anthropology   n．人类学
antibiotic   n．抗生素，adj．抗菌的
antibody   n．抗体（身体中的抗病物质）
antigen   n．抗原（注射于动物体内，能使之产生抗体的物质）
antic   adj古怪的，笨拙的
antics   n．古怪滑稽的动作
anticipate   v．预期，期待
anticipatory   adj预期的
antidote   n．解毒药
antiquated   adj陈旧的，过时的，
antiseptic   n．杀菌剂，adj防腐的
antithesis   n．对立，相对
antithetic   adj．对立的
anvil   n．铁砧
aorta   n．主动脉
apathy   n．漠然，冷淡
apathetic   adj．冷漠的，无动于衷的
aperture   n．孔隙，窄的缺口
apex   n．顶点，最高点
aphasia   n．失语症
aphorism   n．格言（maxim）
apiary   n．养蜂场
apiculture   n．养蜂业
aplomb   n．沉着，镇静
apocalyptic   adj预示灾祸的，启示的
apocrypha   n．伪经，伪书
apocryphal   adj伪经的，假冒的
apogee   n．远地点（太阳等距离地球最远的点）
apology   n．道歉，谢罪
apologetic   adj道歉的，歉意的
apostasy   n．背教，脱党
apostate   n背教者，变节者
apostrophe   n书写中撇号（’）（表示省略或所有格）
apotheosis   n．神化，典范
appal   v．使惊骇，使恐怖
appalling   adj骇人的，可怕的．
apparel   n．（精致的）衣服
apparition   n．幽灵，神奇的现象
appeal   v．恳求，吸引
appealing   adj．吸引人的，打动人心的
appease   v．使平静，安抚
appeasement   n．平息，满足
appellation   n．名称，称呼
appendage   n．附加物
appetite   n．胃口，食欲
appetizing   adj开胃的
applicable   adj．生效的，适合的，
apposite   adj．适当的，恰切的．
appreciable   adj．明显的，重要的
appreciative   adj．感谢的，赞赏的
apprehend   v．逮捕，恐惧
apprehension   n．焦虑，担忧
apprehensive   adj．恐惧的，担心的
apprise   v．通知，告诉
approachable   adj．可接近的，随和的．
approbation   n．称赞，认可，
approbatory   adj．表示赞许的．
appropriate   v．拨款，盗用
appropriation   n．拨款，挪用公款
approximate   adj．大约的，估计的
apron   n．围裙
aquatic   adj．水生的，水中的
aqueduct   n．高架渠，渡槽
aquiline   adj．鹰的，似鹰的．
arabesque   n．蔓藤图饰
arable   adj．可耕的，适合种植的．
arbiter   n．权威人士，泰斗
arbitrary   adj．专横的，不理智的
arbitrate   v．仲裁，公断
